Nr;Color;Sensor0;Red0;Green0;Blue0;Intensity0;Sensor1;Red1;Green1;Blue1;Intensity1
108304;Orange;0;17;20;14;5;1;32;33;26;10
108305;Orange;0;17;20;14;5;1;32;33;26;10
108306;Orange;0;17;20;15;5;1;32;33;26;10
108307;Orange;0;17;20;15;5;1;32;33;26;10
108308;Orange;0;17;20;14;5;1;32;32;26;10
108309;Orange;0;17;20;14;5;1;32;33;26;10
108310;Orange;0;17;20;15;5;1;32;33;26;10
108311;Orange;0;17;20;14;5;1;32;39;26;10
108312;Orange;0;17;20;15;5;1;32;33;26;10
108313;Orange;0;17;20;14;5;1;32;33;26;10
108314;Orange;0;17;20;15;5;1;32;33;26;10
108315;Orange;0;18;20;15;5;1;32;33;26;7
108316;Orange;0;17;20;14;5;1;32;33;26;10
108317;Orange;0;18;20;15;5;1;32;33;26;10
108318;Orange;0;18;20;15;5;1;32;33;26;10
108319;Orange;0;17;20;14;5;1;32;33;26;10
108320;Orange;0;17;20;15;5;1;32;33;26;10
108321;Orange;0;17;20;15;5;1;32;33;26;10
108322;Orange;0;18;20;15;5;1;32;33;26;10
108323;Orange;0;17;20;15;5;1;32;33;26;10
108324;Orange;0;17;20;15;5;1;32;33;26;10
108325;Orange;0;17;20;15;5;1;32;33;26;10
108326;Orange;0;17;20;15;5;1;32;33;26;10
108327;Orange;0;17;20;15;5;1;32;33;26;10
108328;Orange;0;18;20;15;5;1;32;33;26;10
108329;Orange;0;17;20;15;5;1;32;33;26;10
108330;Orange;0;18;20;15;5;1;32;33;26;10
108331;Orange;0;18;20;15;5;1;32;33;26;3
108332;Orange;0;17;20;15;5;1;32;33;26;10
108333;Orange;0;18;18;15;5;1;32;33;26;10
108334;Orange;0;18;20;15;5;1;32;33;26;10
108335;Orange;0;18;20;15;5;1;32;33;26;10
108336;Orange;0;18;20;15;5;1;32;33;26;10
108337;Orange;0;18;20;15;5;1;32;33;26;10
108338;Orange;0;18;20;15;5;1;32;39;26;10
108339;Orange;0;18;20;15;5;1;32;33;26;10
108340;Orange;0;18;20;15;5;1;32;33;26;10
108341;Orange;0;18;20;15;5;1;32;33;26;10
108342;Orange;0;18;20;15;5;1;32;33;26;10
108343;Orange;0;18;20;15;5;1;32;33;26;10
108344;Orange;0;18;16;15;5;1;32;32;26;10
108345;Orange;0;18;20;15;5;1;32;33;26;10
108346;Orange;0;18;21;15;5;1;32;33;26;10
108347;Orange;0;18;20;15;5;1;36;33;26;10
108348;Orange;0;18;20;15;5;1;32;33;26;10
108349;Orange;0;18;20;15;5;1;32;33;26;10
108350;Orange;0;18;20;15;5;1;32;33;26;10
108351;Orange;0;18;20;15;5;1;32;33;26;10
108352;Orange;0;18;24;15;5;1;32;33;26;10
108353;Orange;0;10;21;15;5;1;32;33;26;10
108354;Orange;0;18;20;15;5;1;32;33;26;10
108355;Orange;0;18;20;15;5;1;32;33;26;10
108356;Orange;0;18;20;15;5;1;32;33;26;10
108357;Orange;0;18;20;15;5;1;32;33;26;10
108358;Orange;0;18;20;15;5;1;32;33;26;10
108359;Orange;0;18;20;15;5;1;32;33;26;10
108360;Orange;0;18;20;15;5;1;32;33;26;10
108361;Orange;0;18;20;15;5;1;32;33;26;2
108362;Orange;0;18;20;15;5;1;32;33;26;10
108363;Orange;0;18;28;15;5;1;32;32;26;10
108364;Orange;0;18;20;15;5;1;32;33;26;10
108365;Orange;0;18;20;15;5;1;32;33;26;10
108366;Orange;0;18;20;15;5;1;32;33;26;10
108367;Orange;0;18;20;15;5;1;32;33;26;10
